	RSSUBMTHAIRY1	RSCONMTHAIRY3	RSSUBMTHAIRY3	RSCONMTHAIRY4	RSSUBMTHAIRY4	INRNACONMTHAIRY1	INRNACONMTHAIRY2	INRNACONMTHAIRY3	INRNACONMTHAIRY4	INRNASUBMTHAIRY1	INRNASUBMTHAIRY2	INRNASUBMTHAIRY3	INRNASUBMTHAIRY4	TOTCONMTHAIRY1	TOTCONMTHAIRY2	TOTCONMTHAIRY3	TOTCONMTHAIRY4	TOTSUBMTHAIRY1	TOTSUBMTHAIRY2	TOTSUBMTHAIRY3	TOTSUBMTHAIRY4	TRACONMTHAIRY1	TRACONMTHAIRY3	TRACONMTHAIRY4	TRASUBMTHAIRY1	TRASUBMTHAIRY3	TRASUBMTHAIRY4
Medtr0001s0010	0	2	2	6	2	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	6
Medtr0001s0070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0001s0100	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0001s0120	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0
Medtr0001s0160	6	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0001s0190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0001s0200	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0001s0260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
Medtr0001s0360	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0001s0380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0001s0430	23	37	72	85	90	11	16	6	22	27	9	26	10	298	110	283	296	66	115	628	207	186	68	173	0	9	151
Medtr0001s0480	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0001s0490	0	3	3	8	4	17	7	13	9	19	6	15	11	136	14	0	354	3	33	190	233	0	0	84	0	0	6
Medtr0001s0500	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0001s0510	0	0	0	0	0	2	0	4	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0001s0560	0	0	0	0	0	2	2	1	3	4	0	5	5	11	221	0	45	0	4	0	26	0	0	0	0	0	0
Medtr0001s0570	6	17	65	53	6	41	20	41	49	56	22	94	24	289	246	806	523	7	106	513	478	0	0	477	0	0	350
Medtr0001s0580	0	0	1	0	0	0	0	0	0	0	0	1	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0
Medtr0001s0660	5	11	9	8	1	8	5	7	0	14	6	11	12	164	225	235	185	179	74	132	414	46	0	0	0	5	125
Medtr0001s0700	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0002s0020	5	11	16	19	6	36	25	22	42	54	28	73	27	267	102	40	393	171	454	353	848	10	1	429	484	0	310
Medtr0002s0030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0002s0040	3	3	4	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0002s0050	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	8	0	0	0	0	0	0	0	0
Medtr0002s0070	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0002s0090	1	8	21	14	7	11	6	7	5	11	8	21	0	33	16	4	138	4	120	4	83	180	0	19	0	3	40
Medtr0002s0100	2	0	6	2	0	3	8	8	4	12	9	13	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0002s0110	0	12	24	14	6	28	9	14	18	17	12	24	8	35	17	13	126	11	53	30	61	2	0	24	0	0	26
Medtr0002s0120	0	3	10	5	0	14	4	4	2	21	3	16	7	31	0	8	52	17	7	9	35	5	0	1	0	0	5
Medtr0002s0140	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	4	0	0	3	1	1	0	0	0	0	0	0
Medtr0002s0150	2	3	1	0	0	1	1	1	2	5	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0002s0160	0	0	0	0	0	0	2	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0002s0170	2	1	3	3	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0002s0180	18	5	42	17	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0002s0200	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0002s0210	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0002s0250	31	14	64	28	46	3268	3918	6825	4931	5545	4644	5463	6185	0	0	0	0	44	1	2	4	0	0	0	0	0	0
Medtr0002s0260	2	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Medtr0002s0270	1112	206	1079	885	1208	16574	25606	45082	26565	27324	31464	34326	39571	80	251	75	97	16	56	85	174	19	0	3	9	2	15
Medtr0002s0280	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Medtr0002s0300	0	2	4	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0002s0310	2	2	1	3	4	0	0	0	0	0	1	1	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Medtr0002s0330	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0002s0350	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
Medtr0002s0360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Medtr0002s0380	113	14	90	45	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0002s0390	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0002s0420	7	5	16	21	6	2	0	1	1	6	5	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0002s0440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0002s0510	9	5	13	3	2	5	8	8	3	5	13	12	14	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Medtr0002s0530	2	0	4	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0002s0540	0	0	3	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0002s0550	0	0	0	4	1	5	20	21	27	25	12	21	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0002s0580	1	0	9	13	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Medtr0002s0590	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0002s0630	0	1	0	0	1	0	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0002s0650	0	1	0	6	2	0	0	0	5	2	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0002s0660	6	7	19	3	13	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0002s0670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0002s0680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0002s0690	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0002s0700	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0002s0730	0	1	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0002s0740	7	3	3	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0002s0750	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Medtr0002s0760	2	1	8	1	11	2	7	16	7	5	4	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0002s0770	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0002s0780	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0002s0790	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0002s0800	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0002s0820	0	6	8	3	0	4	2	1	6	3	0	0	2	181	82	91	184	18	134	242	9	45	0	7	0	0	12
Medtr0002s0860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0002s0870	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0002s0880	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0002s0890	0	2	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0002s0900	0	23	25	34	8	0	0	1	0	3	1	1	5	34	23	101	55	1	98	0	63	0	0	104	0	0	20
Medtr0002s0930	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0002s0960	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0002s0990	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	0	0	0	0
Medtr0002s1060	437	1328	1270	2567	314	4	18	6	5	22	79	18	68	1055	1576	1539	1462	1561	914	230	1261	993	305	651	1387	72	820
Medtr0002s1160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0002s1180	0	0	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0002s1200	0	6	6	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	63	0	36	0	0	0	0	0	0
Medtr0002s1220	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Medtr0002s1240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	6	0	0	0	0	0	0
Medtr0002s1250	0	1	9	0	3	0	1	0	0	4	3	6	10	0	0	0	22	3	0	0	2	0	0	0	0	0	67
Medtr0002s1260	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	5	0	0	0	0	0	0
Medtr0002s1270	0	2	6	1	1	8	11	4	16	15	9	27	5	11	7	136	48	23	58	0	40	0	0	4	0	0	14
Medtr0002s1280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0003s0010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0003s0060	0	4	1	3	0	0	0	0	0	0	0	0	0	42	0	0	36	0	1	0	3	3	0	29	0	0	0
Medtr0003s0070	2	1	4	9	0	0	0	0	0	0	0	0	0	11	0	0	11	0	1	0	30	0	0	10	0	0	0
Medtr0003s0080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0003s0090	0	14	14	20	5	23	10	48	24	56	29	48	22	31	245	104	227	247	298	183	232	71	70	54	701	11	125
Medtr0003s0130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
