	INRNACONOSROOT1	INRNASUBOSROOT1	INRNACONOSROOT2	INRNASUBOSROOT2	INRNACONOSROOT3	INRNASUBOSROOT3	INRNACONOSROOT4	INRNASUBOSROOT4	TOTCONOSROOT1	TOTSUBOSROOT1	TOTCONOSROOT2	TOTSUBOSROOT2	TRACONOSROOT1	TRASUBOSROOT1	TRACONOSROOT2	TRASUBOSROOT2	TOTCONOSROOT3	TOTSUBOSROOT3	TOTCONOSROOT4	TOTSUBOSROOT4	TRACONOSROOT3	TRASUBOSROOT3	TRACONOSROOT4	TRASUBOSROOT4	RSCONOSROOT3	RSCONOSROOT1	RSSUBOSROOT1	RSSUBOSROOT3	RSCONOSROOT4	RSSUBOSROOT4
OS01G0100100	42	111	94	37	41	27	40	77	1038	1442	766	873	732	854	931	930	1059	848	1063	957	1009	897	818	592	280	301	410	434	269	424
OS01G0100200	2	0	2	3	2	0	2	1	28	29	22	21	6	10	9	8	37	21	33	27	23	8	10	7	4	14	3	1	6	3
OS01G0100300	2	0	2	3	2	0	2	1	23	20	14	17	5	6	4	4	27	17	24	20	21	7	6	6	2	3	1	0	0	0
OS01G0100400	63	73	90	15	28	8	14	24	616	463	405	302	614	385	665	340	542	314	535	272	747	401	569	199	372	406	237	249	349	272
OS01G0100466	53	60	61	10	19	0	9	19	289	196	197	148	259	214	327	173	284	161	241	125	394	187	300	99	1	0	0	0	0	0
OS01G0100500	33	113	66	31	24	4	43	46	1458	2153	898	1259	1062	1408	1318	1485	1308	1454	1501	1637	1283	1796	1161	1246	958	1346	1333	1098	625	959
OS01G0100600	11	40	21	20	17	1	12	28	388	727	235	390	230	220	177	239	403	360	368	465	220	251	170	142	38	48	51	69	45	52
OS01G0100650	7	20	10	10	8	1	8	15	195	325	103	190	105	111	94	110	176	170	176	221	110	117	81	55	0	0	0	0	0	0
OS01G0100700	117	104	173	52	109	161	79	80	5225	3098	3372	2419	2638	1701	2985	1723	5079	2539	5180	2884	3743	1998	2854	1084	1996	2216	1058	1365	1836	1437
OS01G0100800	41	35	89	15	44	11	62	19	441	479	320	281	121	145	169	138	483	262	500	275	188	172	165	106	89	95	115	114	60	111
OS01G0100900	54	108	102	22	55	44	29	60	3170	4215	2202	2560	3380	3339	4163	3901	3134	2766	3445	2842	4498	3909	3719	2578	1537	2320	1715	1883	1958	2494
OS01G0101150	21	14	21	8	12	11	5	9	65	62	46	46	40	34	41	21	60	42	45	33	39	26	48	14	36	27	9	16	6	11
OS01G0101200	22	41	44	5	23	37	26	10	536	505	320	328	412	338	526	358	496	276	438	344	563	456	433	246	67	118	78	107	79	91
OS01G0101300	30	55	56	19	28	31	29	45	380	414	222	250	338	327	411	310	330	226	283	299	448	444	343	224	225	289	242	287	312	289
OS01G0101600	231	485	332	77	168	173	128	209	1102	1403	662	810	615	675	701	638	954	826	882	855	844	664	634	432	995	1377	944	1192	951	1016
OS01G0101700	16	13	24	1	6	9	8	12	139	100	103	82	98	58	105	85	147	108	122	105	144	79	135	46	40	47	19	35	9	9
OS01G0101800	26	19	34	6	13	33	22	17	276	303	188	167	200	187	282	137	274	122	196	160	295	156	171	103	109	151	77	107	95	82
OS01G0101850	5	10	8	3	2	27	8	6	175	174	113	91	124	116	194	65	161	80	131	82	165	98	103	64	1	0	0	1	0	0
OS01G0101900	4	1	7	0	8	6	2	0	12	15	5	18	2	4	0	4	9	4	11	10	6	6	7	2	0	0	0	3	1	1
