Name,LibraryName,Replicate,Line,Promoter,Sample,Treatment,Genotype,Tissue,Experiment
INRNACONMTHAIRY1,INRNACONMTHAIRY1,1,n,X35S,INRNA,CON,MT,HAIRY,SUB EXP
INRNASUBMTHAIRY1,INRNASUBMTHAIRY1,1,n,X35S,INRNA,SUB,MT,HAIRY,SUB EXP
INRNACONMTHAIRY2,INRNACONMTHAIRY2,2,n,X35S,INRNA,CON,MT,HAIRY,SUB EXP
INRNASUBMTHAIRY2,INRNASUBMTHAIRY2,2,n,X35S,INRNA,SUB,MT,HAIRY,SUB EXP
INRNACONMTHAIRY3,INRNACONMTHAIRY3,3,n,X35S,INRNA,CON,MT,HAIRY,SUB EXP
INRNASUBMTHAIRY3,INRNASUBMTHAIRY3,3,n,X35S,INRNA,SUB,MT,HAIRY,SUB EXP
INRNACONMTHAIRY4,INRNACONMTHAIRY4,4,n,X35S,INRNA,CON,MT,HAIRY,SUB EXP
INRNASUBMTHAIRY4,INRNASUBMTHAIRY4,4,n,X35S,INRNA,SUB,MT,HAIRY,SUB EXP
RSCONMTHAIRY1,RSCONMTHAIRY1,1,n,X35S,RS,CON,MT,HAIRY,SUB EXP
RSSUBMTHAIRY1,RSSUBMTHAIRY1,1,n,X35S,RS,SUB,MT,HAIRY,SUB EXP
RSCONMTHAIRY3,RSCONMTHAIRY3,3,n,X35S,RS,CON,MT,HAIRY,SUB EXP
RSSUBMTHAIRY3,RSSUBMTHAIRY3,3,n,X35S,RS,SUB,MT,HAIRY,SUB EXP
RSCONMTHAIRY4,RSCONMTHAIRY4,4,n,X35S,RS,CON,MT,HAIRY,SUB EXP
RSSUBMTHAIRY4,RSSUBMTHAIRY4,4,n,X35S,RS,SUB,MT,HAIRY,SUB EXP
TOTCONMTHAIRY1,TOTCONMTHAIRY1,1,n,X35S,TOT,CON,MT,HAIRY,SUB EXP
TOTSUBMTHAIRY1,TOTSUBMTHAIRY1,1,n,X35S,TOT,SUB,MT,HAIRY,SUB EXP
TOTCONMTHAIRY2,TOTCONMTHAIRY2,2,n,X35S,TOT,CON,MT,HAIRY,SUB EXP
TOTSUBMTHAIRY2,TOTSUBMTHAIRY2,2,n,X35S,TOT,SUB,MT,HAIRY,SUB EXP
TRACONMTHAIRY1,TRACONMTHAIRY1,1,n,X35S,TRA,CON,MT,HAIRY,SUB EXP
TRASUBMTHAIRY1,TRASUBMTHAIRY1,1,n,X35S,TRA,SUB,MT,HAIRY,SUB EXP
TOTCONMTHAIRY3,TOTCONMTHAIRY3,3,n,X35S,TOT,CON,MT,HAIRY,SUB EXP
TOTSUBMTHAIRY3,TOTSUBMTHAIRY3,3,n,X35S,TOT,SUB,MT,HAIRY,SUB EXP
TOTCONMTHAIRY4,TOTCONMTHAIRY4,4,n,X35S,TOT,CON,MT,HAIRY,SUB EXP
TOTSUBMTHAIRY4,TOTSUBMTHAIRY4,4,n,X35S,TOT,SUB,MT,HAIRY,SUB EXP
TRACONMTHAIRY3,TRACONMTHAIRY3,3,n,X35S,TRA,CON,MT,HAIRY,SUB EXP
TRASUBMTHAIRY3,TRASUBMTHAIRY3,3,n,X35S,TRA,SUB,MT,HAIRY,SUB EXP
TRACONMTHAIRY4,TRACONMTHAIRY4,4,n,X35S,TRA,CON,MT,HAIRY,SUB EXP
TRASUBMTHAIRY4,TRASUBMTHAIRY4,4,n,X35S,TRA,SUB,MT,HAIRY,SUB EXP
