Name,LibraryName,Replicate,Line,Promoter,Sample,Treatment,Genotype,Tissue,Experiment
TOTCONOSROOT1,TOTCON1,1,NB-2,X35S,TOT,CON,OS,ROOT,SUB EXP
TOTSUBOSROOT1,TOTSUB1,1,NB-2,X35S,TOT,SUB,OS,ROOT,SUB EXP
TOTCONOSROOT2,TOTCON2,2,NB-2,X35S,TOT,CON,OS,ROOT,SUB EXP
TOTSUBOSROOT2,TOTSUB2,2,NB-2,X35S,TOT,SUB,OS,ROOT,SUB EXP
TRACONOSROOT1,TRACON1,1,NB-2,X35S,TRA,CON,OS,ROOT,SUB EXP
TRASUBOSROOT1,TRASUB1,1,NB-2,X35S,TRA,SUB,OS,ROOT,SUB EXP
TRACONOSROOT2,TRACON2,2,NB-2,X35S,TRA,CON,OS,ROOT,SUB EXP
TRASUBOSROOT2,TRASUB2,2,NB-2,X35S,TRA,SUB,OS,ROOT,SUB EXP
TOTCONOSROOT3,TOTCON3,3,NB-2,X35S,TOT,CON,OS,ROOT,SUB EXP
TOTSUBOSROOT3,TOTSUB3,3,NB-2,X35S,TOT,SUB,OS,ROOT,SUB EXP
TOTCONOSROOT4,TOTCON4,4,NB-2,X35S,TOT,CON,OS,ROOT,SUB EXP
TOTSUBOSROOT4,TOTSUB4,4,NB-2,X35S,TOT,SUB,OS,ROOT,SUB EXP
TRACONOSROOT3,TRACON3,3,NB-2,X35S,TRA,CON,OS,ROOT,SUB EXP
TRASUBOSROOT3,TRASUB3,3,NB-2,X35S,TRA,SUB,OS,ROOT,SUB EXP
TRACONOSROOT4,TRACON4,4,NB-2,X35S,TRA,CON,OS,ROOT,SUB EXP
TRASUBOSROOT4,TRASUB4,4,NB-2,X35S,TRA,SUB,OS,ROOT,SUB EXP
INRNACONOSROOT1,INRNACON1,1,76-6-2,X35S,INRNA,CON,OS,ROOT,SUB EXP
INRNASUBOSROOT1,INRNASUB1,1,76-6-2,X35S,INRNA,SUB,OS,ROOT,SUB EXP
INRNACONOSROOT2,INRNACON2,2,76-6-2,X35S,INRNA,CON,OS,ROOT,SUB EXP
INRNASUBOSROOT2,INRNASUB2,2,76-6-2,X35S,INRNA,SUB,OS,ROOT,SUB EXP
INRNACONOSROOT3,INRNACON3,3,76-6-2,X35S,INRNA,CON,OS,ROOT,SUB EXP
INRNASUBOSROOT3,INRNASUB3,3,76-6-2,X35S,INRNA,SUB,OS,ROOT,SUB EXP
INRNACONOSROOT4,INRNACON4,4,76-6-2,X35S,INRNA,CON,OS,ROOT,SUB EXP
INRNASUBOSROOT4,INRNASUB4,4,76-6-2,X35S,INRNA,SUB,OS,ROOT,SUB EXP
RSCONOSROOT1,RSCON1,1,NB-2,X35S,RS,CON,OS,ROOT,SUB EXP
RSSUBOSROOT1,RSSUB1,1,NB-2,X35S,RS,SUB,OS,ROOT,SUB EXP
RSCONOSROOT3,RSCON3,3,NB-2,X35S,RS,CON,OS,ROOT,SUB EXP
RSSUBOSROOT3,RSSUB3,3,NB-2,X35S,RS,SUB,OS,ROOT,SUB EXP
RSCONOSROOT4,RSCON4,4,NB-2,X35S,RS,CON,OS,ROOT,SUB EXP
RSSUBOSROOT4,RSSUB4,4,NB-2,X35S,RS,SUB,OS,ROOT,SUB EXP
