Name,LibraryName,Replicate,Line,Sample,Treatment,Genotype,Tissue
TOTCONHAIRYROOTT6A,A17 TOTAL,A,T6,TOT,CON,HAIRY,ROOT
TRACONHAIRYROOTT6A,A17 TRAP,A,T6,TRA,CON,HAIRY,ROOT
TOTSUBHAIRYROOTT6A,A18 TOTAL,A,T6,TOT,SUB,HAIRY,ROOT
TRASUBHAIRYROOTT6A,A18 TRAP,A,T6,TRA,SUB,HAIRY,ROOT
TOTCONSLSHOOTB,B01 TOTAL,B,,TOT,CON,SL,SHOOT
TRACONSLSHOOTB,B01 TRAP,B,,TRA,CON,SL,SHOOT
TOTSUBSLSHOOTB,B02 TOTAL,B,,TOT,SUB,SL,SHOOT
TRASUBSLSHOOTB,B02 TRAP,B,,TRA,SUB,SL,SHOOT
TOTCONSLROOTB,B09 TOTAL,B,,TOT,CON,SL,ROOT
TRACONSLROOTB,B09 TRAP,B,,TRA,CON,SL,ROOT
TOTSUBSLROOTB,B10 TOTAL,B,,TOT,SUB,SL,ROOT
TRASUBSLROOTB,B10 TRAP,B,,TRA,SUB,SL,ROOT
TOTCONHAIRYROOTT6B,B17 TOTAL,B,T6,TOT,CON,HAIRY,ROOT
TRACONHAIRYROOTT6B,B17 TRAP,B,T6,TRA,CON,HAIRY,ROOT
TOTSUBHAIRYROOTT6B,B18 TOTAL,B,T6,TOT,SUB,HAIRY,ROOT
TRASUBHAIRYROOTT6B,B18 TRAP,B,T6,TRA,SUB,HAIRY,ROOT
TOTCONHAIRYROOTT2B,B19 TOTAL,B,T2,TOT,CON,HAIRY,ROOT
TRACONHAIRYROOTT2B,B19 TRAP,B,T2,TRA,CON,HAIRY,ROOT
TOTSUBHAIRYROOTT2B,B20 TOTAL,B,T2,TOT,SUB,HAIRY,ROOT
TRASUBHAIRYROOTT2B,B20 TRAP,B,T2,TRA,SUB,HAIRY,ROOT
TOTCONSLSHOOTC,C01 TOTAL,C,,TOT,CON,SL,SHOOT
TRACONSLSHOOTC,C01 TRAP,C,,TRA,CON,SL,SHOOT
TOTSUBSLSHOOTC,C02 TOTAL,C,,TOT,SUB,SL,SHOOT
TRASUBSLSHOOTC,C02 TRAP,C,,TRA,SUB,SL,SHOOT
TOTCONSLROOTC,C09 TOTAL,C,,TOT,CON,SL,ROOT
TRACONSLROOTC,C09 TRAP,C,,TRA,CON,SL,ROOT
TOTSUBSLROOTC,C10 TOTAL,C,,TOT,SUB,SL,ROOT
TRASUBSLROOTC,C10 TRAP,C,,TRA,SUB,SL,ROOT
TRACONHAIRYROOTT6C,C17 TOTAL,C,T6,TRA,CON,HAIRY,ROOT
TOTCONHAIRYROOTT6C,C17 TRAP,C,T6,TOT,CON,HAIRY,ROOT
TRASUBHAIRYROOTT6C,C18 TOTAL,C,T6,TRA,SUB,HAIRY,ROOT
TOTSUBHAIRYROOTT6C,C18 TRAP,C,T6,TOT,SUB,HAIRY,ROOT
TRACONHAIRYROOTT4C,C19 TOTAL,C,T4,TRA,CON,HAIRY,ROOT
TOTCONHAIRYROOTT4C,C19 TRAP,C,T4,TOT,CON,HAIRY,ROOT
TRASUBHAIRYROOTT4C,C20 TOTAL,C,T4,TRA,SUB,HAIRY,ROOT
TOTSUBHAIRYROOTT4C,C20 TRAP,C,T4,TOT,SUB,HAIRY,ROOT
TOTCONSLSHOOTD,D01 TOTAL,D,,TOT,CON,SL,SHOOT
TRACONSLSHOOTD,D01 TRAP,D,,TRA,CON,SL,SHOOT
TOTSUBSLSHOOTD,D02 TOTAL REPEAT,D,,TOT,SUB,SL,SHOOT
TRASUBSLSHOOTD,D02 TRAP,D,,TRA,SUB,SL,SHOOT
TOTCONSLROOTD,D09 TOTAL,D,,TOT,CON,SL,ROOT
TRACONSLROOTD,D09 TRAP,D,,TRA,CON,SL,ROOT
TOTSUBSLROOTD,D10 TOTAL,D,,TOT,SUB,SL,ROOT
TRASUBSLROOTD,D10 TRAP,D,,TRA,SUB,SL,ROOT
TOTCONHAIRYROOTT3D,D17 TOTAL,D,T3,TOT,CON,HAIRY,ROOT
TRACONHAIRYROOTT3D,D17 TRAP,D,T3,TRA,CON,HAIRY,ROOT
TOTSUBHAIRYROOTT3D,D18 TOTAL,D,T3,TOT,SUB,HAIRY,ROOT
TRASUBHAIRYROOTT3D,D18 TRAP,D,T3,TRA,SUB,HAIRY,ROOT
TOTCONSLSHOOTE,E01 TOTAL,E,,TOT,CON,SL,SHOOT
TRACONSLSHOOTE,E01 TRAP,E,,TRA,CON,SL,SHOOT
TOTSUBSLSHOOTE,E02 TOTAL,E,,TOT,SUB,SL,SHOOT
TRASUBSLSHOOTE,E02 TRAP,E,,TRA,SUB,SL,SHOOT
TOTCONSLROOTE,E09 TOTAL,E,,TOT,CON,SL,ROOT
TRACONSLROOTE,E09 TRAP,E,,TRA,CON,SL,ROOT
TOTSUBSLROOTE,E10 TOTAL,E,,TOT,SUB,SL,ROOT
TRASUBSLROOTE,E10 TRAP,E,,TRA,SUB,SL,ROOT
