Name,Name1,LibraryName,Replicate,Line,Sample,Treatment,Genotype,Tissue,
TOTCONSPSHOOTB,B03-TOT,B03,B,35S-TR-1,TOT,CON,SP,SHOOT,TOTCONSPSHOOTB
TRACONSPSHOOTB,B03-TRAP,B03,B,35S-TR-1,TRA,CON,SP,SHOOT,TRACONSPSHOOTB
TOTSUBSPSHOOTB,B04-TOT,B04,B,35S-TR-1,TOT,SUB,SP,SHOOT,TOTSUBSPSHOOTB
TRASUBSPSHOOTB,B04-TRAP,B04,B,35S-TR-1,TRA,SUB,SP,SHOOT,TRASUBSPSHOOTB
INRNACONSPSHOOTB,B07-IN,IN-B07,B,35S-IN-3,INRNA,CON,SP,SHOOT,INRNACONSPSHOOTB
INRNACONSPROOTB,B15-IN,IN-B15,B,35S-IN-3,INRNA,CON,SP,ROOT,INRNACONSPROOTB
TOTCONSPSHOOTC,C03-TOT,C03,C,35S-TR-1,TOT,CON,SP,SHOOT,TOTCONSPSHOOTC
TRACONSPSHOOTC,C03-TRAP,C03,C,35S-TR-1,TRA,CON,SP,SHOOT,TRACONSPSHOOTC
TOTSUBSPSHOOTC,C04-TOT,C04,C,35S-TR-1,TOT,SUB,SP,SHOOT,TOTSUBSPSHOOTC
TRASUBSPSHOOTC,C04-TRAP,C04,C,35S-TR-1,TRA,SUB,SP,SHOOT,TRASUBSPSHOOTC
INRNACONSPSHOOTC,C07-IN,IN-C07,C,35S-IN-3,INRNA,CON,SP,SHOOT,INRNACONSPSHOOTC
INRNASUBSPSHOOTC,C08-IN,IN-C08,C,35S-IN-3,INRNA,SUB,SP,SHOOT,INRNASUBSPSHOOTC
INRNACONSPROOTC,C15-IN,IN-C15,C,35S-IN-3,INRNA,CON,SP,ROOT,INRNACONSPROOTC
INRNASUBSPROOTC,C16-IN,IN-C16,C,35S-IN-3,INRNA,SUB,SP,ROOT,INRNASUBSPROOTC
TOTCONSPSHOOTD,D03-TOT,D03,D,35S-TR-1,TOT,CON,SP,SHOOT,TOTCONSPSHOOTD
TRACONSPSHOOTD,D03-TRAP,D03,D,35S-TR-1,TRA,CON,SP,SHOOT,TRACONSPSHOOTD
TOTSUBSPSHOOTD,D04-TOT,D04,D,35S-TR-1,TOT,SUB,SP,SHOOT,TOTSUBSPSHOOTD
INRNACONSPSHOOTD,D07-IN,IN-D07,D,35S-IN-3,INRNA,CON,SP,SHOOT,INRNACONSPSHOOTD
INRNASUBSPSHOOTD1,D08-IN,IN-D08,D1,35S-IN-3,INRNA,SUB,SP,SHOOT,INRNASUBSPSHOOTD1
INRNACONSPROOTD,D15-IN,IN-D15,D,35S-IN-3,INRNA,CON,SP,ROOT,INRNACONSPROOTD
INRNASUBSPROOTD1,D16-IN,IN-D16,D1,35S-IN-3,INRNA,SUB,SP,ROOT,INRNASUBSPROOTD1
INRNASUBSPROOTD3,D21-IN-B,IN-D21,D3,35S-IN-3,INRNA,SUB,SP,ROOT,INRNASUBSPROOTD3
INRNASUBSPSHOOTD2,D22-IN,IN-D22,D2,35S-IN-3,INRNA,SUB,SP,SHOOT,INRNASUBSPSHOOTD2
TOTCONSPSHOOTE,E03-TOT,E03,E,35S-TR-1,TOT,CON,SP,SHOOT,TOTCONSPSHOOTE
TRACONSPSHOOTE,E03-TRAP,E03,E,35S-TR-1,TRA,CON,SP,SHOOT,TRACONSPSHOOTE
TOTSUBSPSHOOTE,E04-TOT,E04,E,35S-TR-1,TOT,SUB,SP,SHOOT,TOTSUBSPSHOOTE
TRASUBSPSHOOTE,E04-TRAP,E04,E,35S-TR-1,TRA,SUB,SP,SHOOT,TRASUBSPSHOOTE
TOTCONSPROOTF1,FF1-TOT,FF1,F1,35S-TR-1,TOT,CON,SP,ROOT,TOTCONSPROOTF1
TRACONSPROOTF1,FF1-TRAP,FF1,F1,35S-TR-1,TRA,CON,SP,ROOT,TRACONSPROOTF1
TOTSUBSPROOTF1,FF2-TOT,FF2,F1,35S-TR-1,TOT,SUB,SP,ROOT,TOTSUBSPROOTF1
TRASUBSPROOTF1,FF2-TRAP,FF2,F1,35S-TR-1,TRA,SUB,SP,ROOT,TRASUBSPROOTF1
TOTCONSPROOTF2,FF3-TOT,FF3,F2,35S-TR-1,TOT,CON,SP,ROOT,TOTCONSPROOTF2
